Weight_place
''
'10'
'11'
"14,04"
"14,040"
'15'
'16'
'18'
"18,958"
"18,98"
'19'
"19,3"
"19,313"
"19,358"
"19,6059"
"19,922"
"19,944"
'20'
"20,088"
"20,09947"
'21'
'22'
'24'
'25'
'26'
'27'
'28'
'30'
'ящик'
